Name,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,AccountNumber,CurrencyIsoCode,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,twodcms__Active__c,twodcms__Primary_Email_Id__c,Nvt_DSM__c,Nvt_External_Id__c,Nvt_Region__c,Nvt_Warranty_Dealer_Type__c
Caterpillar,,1815 Holt Way Attn: Michael Workman,Seguin,TX,78155,US,1815 Holt Way Attn: Michael Workman,Seguin,TX,78155,US,,CAT01,USD,C&I,Customer,Active,dummy@tavant.com,,CAT01,Southern,
"Caterpillar - Lafayette, IN",,3701 SOUTH STREET,LAFAYETTE,IN,47905,US,3701 SOUTH STREET,LAFAYETTE,IN,47905,US,,CAT02,USD,C&I,Customer,Active,dummy@tavant.com,,CAT02,Midwest,
Clark Material Handling,,700 Enterprise Dr,Lexington,KY,40510,US,700 Enterprise Dr,Lexington,KY,40510,US,,CLARK01,USD,C&I,Dealer,Active,dummy@tavant.com,,CLARK01,Midwest,Truck Dealer
CMH Services,,P.O. Box 6,Columbia,SC,29202,US,P.O. Box 6,Columbia,SC,29202,US,,CMH01,USD,C&I,Dealer,Active,dummy@tavant.com,,CMH01,Southern,Truck Dealer
COMBILIFT DEPOT,,11530 HUFFSMITH KUYKENDAHL RD,TOMBALL,TX,77375,US,11530 HUFFSMITH KUYKENDAHL RD,TOMBALL,TX,77375,US,,408-COM,USD,C&I,Dealer,Active,dummy@tavant.com,,408-COM,Southern,Truck Dealer
CONGER TOYOTA,,528 ENTERPRISE DRIVE,NEENAH,WI,54946,US,528 ENTERPRISE DRIVE,NEENAH,WI,54946,US,,490-CONG,USD,C&I,Dealer,Active,dummy@tavant.com,,490-CONG,Midwest,Truck Dealer
"Conley DC Solutions - Denver, CO",,4570 Columbine St.,Denver,CO,80216,US,4570 Columbine St.,Denver,CO,80216,US,,471,USD,C&I,Dealer,Active,dummy@tavant.com,,471,Western,Battery Dealer
Crown,,410 Grand Lake Rd.,Celina,OH,45822,US,410 Grand Lake Rd.,Celina,OH,45822,US,,CRO03,USD,C&I,Dealer,Active,dummy@tavant.com,,CRO03,Midwest,Truck Dealer
Crown Battery Manufacturing Co,,1445 Majestic Dr. PO. Box 990,Fremont,OH,43420,US,1445 Majestic Dr. PO. Box 990,Fremont,OH,43420,US,,CRO01,USD,C&I,Dealer,Active,dummy@tavant.com,,CRO01,Midwest,Truck Dealer
Crown Equipment,,44 South Washington St.,"New Bremen,",OH,45869,US,44 South Washington St.,"New Bremen,",OH,45869,US,,CROWN,USD,C&I,Dealer,Active,dummy@tavant.com,,CROWN,Midwest,Truck Dealer
Crown Equipment Corporation,,4000 Scientific Drive,Arlington,TX,76014,US,4000 Scientific Drive,Arlington,TX,76014,US,,CROWN01,USD,C&I,Dealer,Active,dummy@tavant.com,,CROWN01,Southern,Truck Dealer
Crown Lift Trucks,,2971 Center Point Circle,Pompano,FL,33064,US,2971 Center Point Circle,Pompano,FL,33064,US,,CLT-FL,USD,C&I,Dealer,Active,dummy@tavant.com,,CLT-FL,Southern,Truck Dealer
Crown Lift Trucks,,8220 Tyner Rd.,Colfax,NC,27235,US,8220 Tyner Rd.,Colfax,NC,27235,US,,CLT-NC,USD,C&I,Dealer,Active,dummy@tavant.com,,CLT-NC,Southern,Truck Dealer
Crown Lift Trucks,,929 Berry Shoals Rd,Duncan,SC,29334,US,929 Berry Shoals Rd,Duncan,SC,29334,US,,CLT-SC,USD,C&I,Dealer,Active,dummy@tavant.com,,CLT-SC,Southern,Truck Dealer
Crown Lift Trucks,,"1650 N. Sam Houston Pkwy, East",Houston,TX,77032-3032,US,"1650 N. Sam Houston Pkwy, East",Houston,TX,77032-3032,US,281-985-0300,CROWN04,USD,C&I,Dealer,Active,dummy@tavant.com,,CROWN04,Southern,Truck Dealer
"Cummins - Columbus, IN",,1900 McKinley Road,Columbus,IN,43043,US,1900 McKinley Road,Columbus,IN,43043,US,,TYN-CUM1,USD,C&I,Customer,Active,dummy@tavant.com,,TYN-CUM1,Midwest,
"Cummins - Seymour, IN",,160 JACKSON DRIVE,SEYMOUR,IN,47274,US,160 JACKSON DRIVE,SEYMOUR,IN,47274,US,,481-CUMM,USD,C&I,Customer,Active,dummy@tavant.com,,481-CUMM,Midwest,
Daimler Mercedes Benz,,11550 Statesville Blvd.,Cleveland,NC,27103,US,11550 Statesville Blvd.,Cleveland,NC,27103,US,,DAI01,USD,C&I,Customer,Active,dummy@tavant.com,,DAI01,Southern,
"Day & Ross Freight - Brampton, ON",,170 Van Kirk Dr.,Brampton,ON,L7A 1K9,CA,170 Van Kirk Dr.,Brampton,ON,L7A 1K9,CA,,DAYROSS1,USD,C&I,Customer,Active,dummy@tavant.com,,DAYROSS1,Midwest,
Deep South Equipment,,340 Airport Road,Pearl,MS,39208,US,340 Airport Road,Pearl,MS,39208,US,(601) 939-9655,HYS-DSE1,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-DSE1,Southern,Truck Dealer
Deep South Equipment,,4610 S 101st Ave,Tulsa,OK,74146,US,4610 S 101st Ave,Tulsa,OK,74146,US,918-805-0626,HYS-DSE2,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-DSE2,Southern,Truck Dealer
Deep South Equipment Co,,6851 Greenwood Rd.,Shreveport,LA,71119,US,6851 Greenwood Rd.,Shreveport,LA,71119,US,318-621-9000,HYSDSE3,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSDSE3,Southern,Truck Dealer
Deep South Equipment Co,,1150 Le Blanc Road,Port Allen,LA,70767,US,1150 Le Blanc Road,Port Allen,LA,70767,US,225-383-6117,HYSDSE4,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSDSE4,Southern,Truck Dealer
Defense Distribution Susquehan,,2001 Mission Drive,New Cumberland,PA,17070,US,2001 Mission Drive,New Cumberland,PA,17070,US,,DDSP,USD,C&I,Customer,Active,dummy@tavant.com,,DDSP,Eastern,
Defense Distribution Susquehan,,Bldg 50 Bay 1 O Avenue,New Cumberland,PA,17070,US,Bldg 50 Bay 1 O Avenue,New Cumberland,PA,17070,US,,NCM02,USD,C&I,Customer,Active,dummy@tavant.com,,NCM02,Eastern,
"Defense Logistics Agency - New Cumberland, PA",,"O Avenue, Bldg 50t, Bay 1",New Cumberland,PA,17070,US,"O Avenue, Bldg 50t, Bay 1",New Cumberland,PA,17070,US,,DLA70,USD,C&I,Customer,Active,dummy@tavant.com,,DLA70,Eastern,
"Defense Logistics Agency - Tracy, CA",,25600 S Chrisman Road Bld 201 Attn: ASO â€“ POC Abe Cabrera,Tracy,CA,95376,US,25600 S Chrisman Road Bld 201 Attn: ASO â€“ POC Abe Cabrera,Tracy,CA,95376,US,,DLA02,USD,C&I,Customer,Active,dummy@tavant.com,,DLA02,Western,
Delicato Wine,,19107 Christopher Way,Lathrop,CA,95330,US,19107 Christopher Way,Lathrop,CA,95330,US,,RAYM_DW,USD,C&I,Customer,Active,dummy@tavant.com,,RAYM_DW,Western,
"DHE - Ontario, CA",,1351 S. Campus,Ontario,CA,91761,US,1351 S. Campus,Ontario,CA,91761,US,,DHE-01,USD,C&I,Customer,Active,dummy@tavant.com,,DHE-01,Western,
"DHL - Manchester, PA",,84 Zions View Rd.,Manchester,PA,17345,US,84 Zions View Rd.,Manchester,PA,17345,US,,DHL03,USD,C&I,Customer,Active,dummy@tavant.com,,DHL03,Eastern,
"DHL-LAM - Livermore, CA",,7364 Marathon Dr.,Livermore,CA,94550,US,7364 Marathon Dr.,Livermore,CA,94550,US,,DHL01,USD,C&I,Customer,Active,dummy@tavant.com,,DHL01,Western,
"DHL-Nestle - Streetsboro, OH",,9300 JEFFERSON STREET,STREETSBORO,OH,44241,US,9300 JEFFERSON STREET,STREETSBORO,OH,44241,US,,DHL-NEST,USD,C&I,Customer,Active,dummy@tavant.com,,DHL-NEST,Midwest,
DLA Contracting Services,,"700 Robbins Avenue, Bldg 26",Philadelphia,PA,19111,US,"700 Robbins Avenue, Bldg 26",Philadelphia,PA,19111,US,1 (215) 737-3415,DLA-1,USD,C&I,Customer,Active,dummy@tavant.com,,DLA-1,Eastern,
"Driscolls - Santa Maria, CA",,1430 S E STREET,SANTA MARIA,CA,93458,US,1430 S E STREET,SANTA MARIA,CA,93458,US,,496-DRIS,USD,C&I,Customer,Active,dummy@tavant.com,,496-DRIS,Western,
"Driscolls - Soledad, CA",,591 Andalucia Drive,Soledad,CA,93960,US,591 Andalucia Drive,Soledad,CA,93960,US,,DRISCOL,USD,C&I,Customer,Active,dummy@tavant.com,,DRISCOL,Western,
"DS Smith - Reading, PA",,100 GRACE STREET,READING,PA,19611,US,100 GRACE STREET,READING,PA,19611,US,,ELT_DSS1,USD,C&I,Customer,Active,dummy@tavant.com,,ELT_DSS1,Eastern,
"EAST PENN - Ashland, VA",,10001 Whitesel Rd,Ashland,VA,23005,US,10001 Whitesel Rd,Ashland,VA,23005,US,,445,USD,C&I,Dealer,Active,dummy@tavant.com,,445,Eastern,Battery Dealer
East Penn - Canada - EPCAN02,,148 Newbold Crt.,London,ON,N6E 1Z7,CA,148 Newbold Crt.,London,ON,N6E 1Z7,CA,,EPCAN02,USD,C&I,Dealer,No,dummy@tavant.com,,EPCAN02,Midwest,Battery Dealer
EAST PENN - HUGH GOODLOE,,460 Jess Sine Rd.,Woodstock,VA,22664,US,460 Jess Sine Rd.,Woodstock,VA,22664,US,,445-HG,USD,C&I,Dealer,Active,dummy@tavant.com,,445-HG,Eastern,Battery Dealer
East Penn Canada - EPCAN-1,,6 Otter Crescent St. Albert,,AB,T8N 6E7,CA,6 Otter Crescent St. Albert,St. Albert,AB,T8N 6E7,CA,,EPCAN-1,USD,C&I,Dealer,No,dummy@tavant.com,,EPCAN-1,Western,Battery Dealer
East Penn Canada - EPCAN-2,,10720 25th Street N.E. #140,Calgary,AB,T3N 0A1,CA,10720 25th Street N.E. #140,Calgary,AB,T3N 0A1,CA,,EPCAN-2,USD,C&I,Dealer,No,dummy@tavant.com,,EPCAN-2,Western,Battery Dealer
East Penn Canada - EPCAN3,,1-111 Inksbrook Dr.,Winnipeg,MB,R2R 2V7,CA,1-111 Inksbrook Dr.,Winnipeg,MB,R2R 2V7,CA,,EPCAN3,USD,C&I,Dealer,No,dummy@tavant.com,,EPCAN3,Midwest,Battery Dealer
East Penn Canada - EPCAN4,,26988 56th Ave. #110,Langley,BC,V4W 1N9,CA,26988 56th Ave. #110,Langley,BC,V4W 1N9,CA,,EPCAN4,USD,C&I,Dealer,No,dummy@tavant.com,,EPCAN4,Western,Battery Dealer
East Penn Canada - EPCAN-96,,1-1375 Aimco Blvd.,"Missisauga, ON",ON,L4W 4K2,CA,1-1375 Aimco Blvd.,Missisauga,ON,L4W 4K2,CA,866-376-4430,EPCAN-96,USD,C&I,Dealer,No,dummy@tavant.com,,EPCAN-96,Midwest,Battery Dealer
East Penn Manufacturing,,15076 W. Kutztown Rd.,Kutztown,PA,19530,US,15076 W. Kutztown Rd.,Kutztown,PA,19530,US,,EAST19,USD,C&I,Dealer,Active,dummy@tavant.com,,EAST19,Eastern,Battery Dealer
East Penn Manufacturing CO.,,102 Deka Rd,Lyon Station,PA,19536,US,102 Deka Rd,Lyon Station,PA,19536,US,,EP-LYON,USD,C&I,Dealer,Active,dummy@tavant.com,,EP-LYON,Eastern,Battery Dealer
East Penn Manufacturing CO.,,PO Box 147,Lyon Station,PA,19536,US,PO Box 147,Lyon Station,PA,19536,US,,EP-LYON2,USD,C&I,Dealer,Active,dummy@tavant.com,,EP-LYON2,Eastern,Battery Dealer
East Penn Manufacturing CO.,,2000 Fort Valley Road,Fort Valley,VA,22652,US,2000 Fort Valley Road,Fort Valley,VA,22652,US,,EP-VA,USD,C&I,Dealer,Active,dummy@tavant.com,,EP-VA,Eastern,Battery Dealer
EAST PENN MANUFACTURING COMPAN,,165 HARWOOD AVENUE,AJAX,ON,L1Z 1L9,CA,165 HARWOOD AVENUE,AJAX,ON,L1Z 1L9,CA,905-427-4787,466,USD,C&I,Dealer,Active,dummy@tavant.com,,466,Midwest,Battery Dealer
EAST PENN MANUFACTURING COMPAN,,5125 S. Lee Hwy,Natural Bridge,VA,24578,US,5125 S. Lee Hwy,Natural Bridge,VA,24578,US,,445-TA,USD,C&I,Dealer,Active,dummy@tavant.com,,445-TA,Eastern,Battery Dealer
EAST PENN MANUFACTURING COMPAN,,"18543, 104 AVENUE NW",EDMONTON,AB,T5S 2V8,CA,"18543, 104 AVENUE NW",EDMONTON,AB,T5S 2V8,CA,905-427-4787,466-A,USD,C&I,Dealer,Active,dummy@tavant.com,,466-A,Western,Battery Dealer
East Penn- Scott Wendland,,829 W. Washington St.,Petersburg,VA,23803,US,829 W. Washington St.,Petersburg,VA,23803,US,,EASTP-SW,USD,C&I,Dealer,Active,dummy@tavant.com,,EASTP-SW,Eastern,Battery Dealer
"East Penn - Fleetwood, PA",,43 S. Buttonwood St.,Fleetwood,PA,19522,US,43 S. Buttonwood St.,Fleetwood,PA,19522,US,,415,USD,C&I,Dealer,Active,dummy@tavant.com,,415,Eastern,Battery Dealer
Eastern Lift Truck,,7050 Snowdrift Road,Allentown,PA,18106,US,7050 Snowdrift Road,Allentown,PA,18106,US,(610) 395-6600,HYS-ELT1,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-ELT1,Eastern,Truck Dealer
Eastern Lift Truck,,2211 Sulphur Springs Road,Halethorpe,MD,21227,US,2211 Sulphur Springs Road,Halethorpe,MD,21227,US,410-247-8844,HYS-ELT2,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-ELT2,Eastern,Truck Dealer
Eastern Lift Truck,,10 Grumbacher Road,York,PA,17406,US,10 Grumbacher Road,York,PA,17406,US,717-764-1161,HYS-ELT3,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-ELT3,Eastern,Truck Dealer
Eastern Lift Truck,,18122 Oak Ridge Road,Hagerstown,MD,21740,US,18122 Oak Ridge Road,Hagerstown,MD,21740,US,717-764-1161,HYS-ELT4,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-ELT4,Eastern,Truck Dealer
Eastern Lift Truck Co Inc,,350 S Poplar Street,Berwick,PA,18603,US,350 S Poplar Street,Berwick,PA,18603,US,570-389-9501,HYSELT11,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSELT11,Eastern,Truck Dealer
Eastern Lift Truck Co Inc,,200 E Bellevue Ave,Reading,PA,19605,US,200 E Bellevue Ave,Reading,PA,19605,US,856-779-8880,HYSELT12,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSELT12,Eastern,Truck Dealer
Eastern Lift Truck Co Inc,,549 East Linwood Ave,Maple Shade,NJ,8052,US,549 East Linwood Ave,Maple Shade,NJ,8052,US,856-779-8880,HYSELT5,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSELT5,Eastern,Truck Dealer
Eastern Lift Truck Co Inc,,560 Stelton Drive,Piscataway,NJ,8854,US,560 Stelton Drive,Piscataway,NJ,8854,US,888-225-2401,HYSELT8,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSELT8,Eastern,Truck Dealer
Eastern Lift Truck Co Inc,,137 Sandy Drive,Newark,DE,19713,US,137 Sandy Drive,Newark,DE,19713,US,302-286-6660,HYSELT9,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSELT9,Eastern,Truck Dealer
"Electric Battery - Jamaica, NY",,178-15 Eveleth Rd,Jamaica,NY,11434,US,178-15 Eveleth Rd,Jamaica,NY,11434,US,,470,USD,C&I,Dealer,Active,dummy@tavant.com,,470,Eastern,Battery Dealer
"Electric Battery - Hopkinton, MA",,6 AVENUE E,HOPKINTON,MA,1748,US,6 AVENUE E,HOPKINTON,MA,1748,US,,469,USD,C&I,Dealer,Active,dummy@tavant.com,,469,Eastern,Battery Dealer
"Electric Battery - Freehold, NJ",,62 Hampton Dr.,Freehold,NJ,7728,US,62 Hampton Dr.,Freehold,NJ,7728,US,,469-JF,USD,C&I,Dealer,Active,dummy@tavant.com,,469-JF,Eastern,Battery Dealer
"Electric Battery - Deptford, NJ",,560 FOX RUN ROAD C/O JOE PARIS,DEPTFORD,NJ,14644,US,560 FOX RUN ROAD C/O JOE PARIS,DEPTFORD,NJ,14644,US,,470-JP,USD,C&I,Dealer,Active,dummy@tavant.com,,470-JP,Eastern,Battery Dealer
"Electric Battery - Dumont, NJ",,19 Niagara Street,Dumont,NJ,7628,US,19 Niagara Street,Dumont,NJ,7628,US,,470-JR,USD,C&I,Dealer,Active,dummy@tavant.com,,470-JR,Eastern,Battery Dealer
"Encore Wire - McKinney, TX",,1202 Airport Dr.,McKinney,TX,75069,US,1202 Airport Dr.,McKinney,TX,75069,US,,467-ENCW,USD,C&I,Customer,Active,dummy@tavant.com,,467-ENCW,Southern,
"Energy Products - Grand Rapids, MI",,5329 Clay Ave - Suite B,Grand Rapids,MI,49548,US,5329 Clay Ave - Suite B,Grand Rapids,MI,49548,US,,426,USD,C&I,Dealer,Active,dummy@tavant.com,,426,Midwest,Battery Dealer
"Energy Products - Madison Heights, MI",,1551 East Lincoln Ave Suite 101,Madison Heights,MI,48071,US,1551 East Lincoln Ave Suite 101,Madison Heights,MI,48071,US,,428,USD,C&I,Dealer,Active,dummy@tavant.com,,428,Midwest,Battery Dealer
"Enterprise Welding - Mentor, OH",,6257 Heisley Rd.,Mentor,OH,44060,US,6257 Heisley Rd.,Mentor,OH,44060,US,,409-ENT,USD,C&I,Customer,Active,dummy@tavant.com,,409-ENT,Midwest,
EQUIPMENT DEPOT,,2550 Progress Way,Kaukauna,WI,54130,US,2550 Progress Way,Kaukauna,WI,54130,US,,490-ED,USD,C&I,Dealer,Active,dummy@tavant.com,,490-ED,Midwest,Truck Dealer
Eric Morgan - Hampton Inn - NSL-EM6,,3555 Mall Loop Dr.,Joliet,IL,60431,US,3555 Mall Loop Dr.,Joliet,IL,60431,US,,NSL-EM6,USD,C&I,OEM,No,dummy@tavant.com,,NSL-EM6,Midwest,
"Essity Paper - Neenah, WI",,825 Ehlers Rd,Neenah,WI,54956,US,825 Ehlers Rd,Neenah,WI,54956,US,,490-ESS,USD,C&I,Customer,Active,dummy@tavant.com,,490-ESS,Midwest,
Fairchild Equipment,,2140 Hutson Road,Green Bay,WI,54303,US,2140 Hutson Road,Green Bay,WI,54303,US,920-494-8726,FAIR-GB,USD,C&I,Dealer,Active,dummy@tavant.com,,FAIR-GB,Midwest,Truck Dealer
Fairchild Equipment,,2000 W 94th St Suite 100,Bloomington,MN,55431,US,2000 W 94th St Suite 100,Bloomington,MN,55431,US,,FAIR-MN,USD,C&I,Dealer,Active,dummy@tavant.com,,FAIR-MN,Midwest,Truck Dealer
FAIRCHILD EQUIPMENT,,5217 HEFFRON COURT,STEVENS POINT,WI,54481,US,5217 HEFFRON COURT,STEVENS POINT,WI,54481,US,,FAIR-SP,USD,C&I,Dealer,Active,dummy@tavant.com,,FAIR-SP,Midwest,Truck Dealer
Fairchild Equipment,,34880 US Highway 2,Grand Rapids,MN,55744,US,34880 US Highway 2,Grand Rapids,MN,55744,US,,HYSFAI10,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSFAI10,Midwest,Truck Dealer
FAIRCHILD EQUIPMENT,,3100 HIGHWAY 13 WEST,BURNSVILLE,MN,55337,US,3100 HIGHWAY 13 WEST,BURNSVILLE,MN,55337,US,,HYS-FAI2,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-FAI2,Midwest,Truck Dealer
Fairchild Equipment,,N52 W13821 Northpark Drive,Menomonee Falls,WI,53051,US,N52 W13821 Northpark Drive,Menomonee Falls,WI,53051,US,262-289-9600,HYSFAI6,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSFAI6,Midwest,Truck Dealer
Fairchild Equipment,,N52 W13821 Northpark Drive,Menomonee Falls,WI,53051,US,N52 W13821 Northpark Drive,Menomonee Falls,WI,53051,US,262-289-9600,HYS-FAI6,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-FAI6,Midwest,Truck Dealer
Fairchild Equipment,,5217 Heffron Ciourt,Stevens Point,WI,54481,US,5217 Heffron Ciourt,Stevens Point,WI,54481,US,715-341-6846,HYSFAIR,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSFAIR,Midwest,Truck Dealer
"Fairchild Equipment - Stevens Point, WI",,6800 Hillcrest Dr.,Stevens Point,WI,54482,US,6800 Hillcrest Dr.,Stevens Point,WI,54482,US,,PCA50,USD,C&I,Customer,Active,dummy@tavant.com,,PCA50,Midwest,
"Fairfield Inn - Tolleson, AZ - GTRDE1",,9033 West McDowell Rd,Tolleson,AZ,85353,US,9033 West McDowell Rd,Tolleson,AZ,85353,US,276-625-3900,GTRDE1,USD,C&I,Customer,No,dummy@tavant.com,,GTRDE1,Western,
"FIO Canada Automotive - Stratford, ON",,220 Dunn Rd.,Stratford,ON,N5A 6S4,CA,220 Dunn Rd.,Stratford,ON,N5A 6S4,CA,905-427-4787,FIO-ON,USD,C&I,Customer,Active,dummy@tavant.com,,FIO-ON,Midwest,
Fitzgerald Equipment,,401 Fitzgerald Drive,Mackinaw,IL,61755,US,401 Fitzgerald Drive,Mackinaw,IL,61755,US,309-359-3921,YALFIT1,USD,C&I,Dealer,Active,dummy@tavant.com,,YALFIT1,Midwest,Truck Dealer
FM FORKLIFT,,4350 MAIN AVE,FARGO,ND,58108,US,4350 MAIN AVE,FARGO,ND,58108,US,385-500-4804,406-FM,USD,C&I,Dealer,Active,dummy@tavant.com,,406-FM,Midwest,Truck Dealer
FORD METAL STAMPING DEARBORN,,3001 MILLER ROAD - HI-LO GARAG,DEARBORN,MI,48121,US,3001 MILLER ROAD - HI-LO GARAG,DEARBORN,MI,48121,US,,FORD-01,USD,C&I,Customer,Active,dummy@tavant.com,,FORD-01,Midwest,
FORKLIFT CITY,,922 I-70 iNDUSTRIAL DRIVE,WENTZVILLE,MO,63385,US,922 I-70 iNDUSTRIAL DRIVE,WENTZVILLE,MO,63385,US,,494-FCMO,USD,C&I,Dealer,Active,dummy@tavant.com,,494-FCMO,Midwest,Truck Dealer
FORKLIFTS OF ST LOUIS,,4720 LAGUARDIA DRIVE,SAINT LOUIS,MO,63134-3116,US,4720 LAGUARDIA DRIVE,SAINT LOUIS,MO,63134-3116,US,,494-FSTL,USD,C&I,Dealer,Active,dummy@tavant.com,,494-FSTL,Midwest,Truck Dealer
"FOUR SEASONS PRODUCE - Ephrata, PA",,400 WABASH ROAD,EPHRATA,PA,17522,US,400 WABASH ROAD,EPHRATA,PA,17522,US,,408FSP,USD,C&I,Customer,Active,dummy@tavant.com,,408FSP,Eastern,
FOXCONN C/O SiiL SA DE CV,,2475 Paseo de las Americas sui,SAN DIEGO,CA,92154,US,2475 Paseo de las Americas sui,SAN DIEGO,CA,92154,US,52(664)246 9850,FOXCN-CA,USD,C&I,Customer,Active,dummy@tavant.com,,FOXCN-CA,Western,
"Frank B. Fuhrer Wholesale - Pittsburgh, PA",,3100 E. Carson St.,Pittsburgh,PA,15203,US,3100 E. Carson St.,Pittsburgh,PA,15203,US,,416-FUHR,USD,C&I,Customer,Active,dummy@tavant.com,,416-FUHR,Eastern,
FRESENIUS DFW DC,,371 S ROYAL LANE,DFW AIRPORT,TX,75261,US,371 S ROYAL LANE,DFW AIRPORT,TX,75261,US,,HYS-DFW,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-DFW,Southern,
"Funko - Buckeye, AZ",,2600 S Miller Rd,Buckeye,AZ,85326,US,2600 S Miller Rd,Buckeye,AZ,85326,US,,425-FUNK,USD,C&I,Customer,Active,dummy@tavant.com,,425-FUNK,Western,
G&W EQUIPMENT,,425 INDEPENDENCE BLVD,GREENVILLE,SC,29615,US,425 INDEPENDENCE BLVD,GREENVILLE,SC,29615,US,,485-GW,USD,C&I,Dealer,Active,dummy@tavant.com,,485-GW,Southern,Truck Dealer
"Garlic Company - Bakersfield, CA",,18602 Zerker Rd. S,Bakersfield,CA,93314,US,18602 Zerker Rd. S,Bakersfield,CA,93314,US,,425-GARL,USD,C&I,Customer,Active,dummy@tavant.com,,425-GARL,Western,
General Motors,,300 Renaissance Center,Detroit,MI,48265-3000,US,300 Renaissance Center,Detroit,MI,48265-3000,US,,GM,USD,C&I,Customer,Active,dummy@tavant.com,,GM,Midwest,
General Motors,,12200 Lafayette Center Rd.,Roanoke,IN,46783,US,12200 Lafayette Center Rd.,Roanoke,IN,46783,US,,GM01,USD,C&I,Customer,Active,dummy@tavant.com,,GM01,Midwest,
General Motors (Ship To),,30470 Harley Earl Blvd,Warren,MI,48092,US,30470 Harley Earl Blvd,Warren,MI,48092,US,,GM2,USD,C&I,Customer,Active,dummy@tavant.com,,GM2,Midwest,
"Georgia Pacific - Huntsville, AL",,3420 STANWOOD BLVD NE,HUNTSVILLE,AL,35811,US,3420 STANWOOD BLVD NE,HUNTSVILLE,AL,35811,US,,HYS-GEO2,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-GEO2,Southern,
"Georgia Pacific - Palatka, FL 1",,170 STATE ROAD 216,PALATKA,FL,32178,US,170 STATE ROAD 216,PALATKA,FL,32178,US,,HYS-GEO1,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-GEO1,Southern,
"Georgia Pacific - Palatka, FL 2",,215 County Rd. 216,Palatka,FL,32177,US,215 County Rd. 216,Palatka,FL,32177,US,,GEOPAC01,USD,C&I,Customer,Active,dummy@tavant.com,,GEOPAC01,Southern,
Green Valley Manufacturing,,100 Green Valley Drive,Mt Zion,IL,62549,US,100 Green Valley Drive,Mt Zion,IL,62549,US,217-864-4275,GVM01,USD,C&I,Customer,Active,dummy@tavant.com,,GVM01,Midwest,
Gregory Poole Equipment,,116 A Liberty Road NE,Roanoke,VA,24012,US,116 A Liberty Road NE,Roanoke,VA,24012,US,540-265-5757,HYSGP1,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSGP1,Eastern,Truck Dealer
Gregory Poole Equipment,,400 Gregory Poole Lane,Mebane,NC,27302,US,400 Gregory Poole Lane,Mebane,NC,27302,US,919-568-7500,HYSGP10,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSGP10,Southern,Truck Dealer
Gregory Poole Equipment,,2620 Discovery Drive,Raleigh,NC,27616,US,2620 Discovery Drive,Raleigh,NC,27616,US,949-468-9033,HYSGP12,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSGP12,Southern,Truck Dealer
Gregory Poole Equipment,,1002 Bankton Circle,Hanahan,SC,29410,US,1002 Bankton Circle,Hanahan,SC,29410,US,843-747-8191,HYSGP18,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSGP18,Southern,Truck Dealer
Gregory Poole Equipment,,5808 Midlothian Turnpike,Richmond,VA,23225,US,5808 Midlothian Turnpike,Richmond,VA,23225,US,804-232-7816,HYSGP2,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSGP2,Eastern,Truck Dealer
Gregory Poole Equipment,,4807 Berly Road,Raleigh,NC,27606,US,4807 Berly Road,Raleigh,NC,27606,US,919-448-6347,HYS-GP3,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-GP3,Southern,Truck Dealer
Gregory Poole Equipment,,712 Kent Street,Winchester,VA,22601,US,712 Kent Street,Winchester,VA,22601,US,540-665-0320,HYS-GP4,USD,C&I,Dealer,Active,dummy@tavant.com,,HYS-GP4,Eastern,Truck Dealer
Gregory Poole Equipment,,591 Belle Circle,Harrisonburg,VA,23225,US,591 Belle Circle,Harrisonburg,VA,23225,US,540-434-3737,HYSGP5,USD,C&I,Dealer,Active,dummy@tavant.com,,HYSGP5,Eastern,Truck Dealer
