Name,AccountNumber,Account_ID__c,BillingCountry,BillingState,BillingCity,BillingPostalCode,BillingStreet,CurrencyIsoCode,Description,Industry,Phone,RecordTypeId,Site,TK_R12_Site_Number__c,Site_Status__c,Site_Name__c,TK_General_Comments__c,TK_R12_Account_Number__c,TKAMB2B_VAT__c,Website,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,RSUPPLY_Account_Site__c,TK_Party_Site_ID__c,RSUPPLY_OracleAccountNumber__c,Fax,TK_Parent_Poem_Code__c,TK_Poem_Code__c,TK_Region__c,TKSVC_Invoice_Print_Method__c
GHG Logistics,12858,001Ot000015wfxDIAQ,US,PA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312473,N/A,,TK - NA,Customer,,,,,,12858,,One Invoice One Claim
"Miller Expedited Freight, Inc.",12868,001Ot000015wfxFIAQ,US,IN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312716,N/A,,TK - NA,Customer,,,,,,12868,,One Invoice All Claims
Vline Inc,9981,001Ot000015wgQSIAY,US,NY,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,989160,N/A,,TK - NA,Customer,,,,,,9981,,One Invoice All Claims
"AP Trucking, LLC",9984,001Ot000015wgQTIAY,US,OH,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,312426,NA,,TK - NA,Customer,,,,,,9984,,One Invoice One Claim
Borculo Garage DBA Grassmid Transport,9985,001Ot000015wgQUIAY,US,MI,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1003560,N/A,,TK - NA,Customer,,,,,,9985,,One Invoice All Claims
Stewart & Stevenson Power Rental,9986,001Ot000015wgQVIAY,US,TX,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,162038,NA,,TK - NA,Customer,,,,,,9986,,One Invoice One Claim
The Sygma Network - Charlotte NC,9989,001Ot000015wgQWIAY,US,NC,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1022620,NA,,TK - NA,Customer,,,,,,9989,,One Invoice One Claim
The Sygma Network - Kansas City MO,9990,001Ot000015wgQXIAY,US,MO,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1022621,NA,,TK - NA,Customer,,,,,,9990,,One Invoice One Claim
Grojean (Hirschbach),3156,001Ot000015wgV1IAI,US,IL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312453,N/A,,TK - NA,Customer,,,,,,3156,,One Invoice One Claim
Hill Bros - CB,3635,001Ot000015wgV2IAI,US,NE,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312408,N/A,,TK - NA,Customer,,,,,,3635,,One Invoice One Claim
Naturally Fresh,370,001Ot000015wgV3IAI,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,163048,N/A,,TK - NA,Customer,,,,,,370,,One Invoice One Claim
Selden Trucking Inc,4137,001Ot000015wgV4IAI,US,NE,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312963,N/A,,TK - NA,Customer,,,,,,4137,,One Invoice All Claims
MMJ Transportation Inc Road Legends,10050,001Ot000015wgekIAA,US,IL,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1142309,N/A,,TK - NA,Customer,,,,,,10050,,One Invoice One Claim
Peak Thermo King West Valley City,10056,001Ot000015wgelIAA,US,UT,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,NO CLAIMS ON THIS CONTRACT. ONLY USED FOR CPO BILLING,312253,NA,,TK - NA,Customer,,,,,,10056,,One Invoice One Claim
Thermo King Sales and Service St. Paul,10057,001Ot000015wgemIAA,US,MN,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,NO CLAIMS ON THIS CONTRACT. ONLY USED FOR CPO BILLING,312252,NA,,TK - NA,Customer,,,,,,10057,,One Invoice One Claim
Beverly & Edward Regan - Fed Ex,12964,001Ot000015wgevIAA,US,SC,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC12964,N/A,,TK - NA,Customer,,,,,,12964,,One Invoice All Claims
"Freshway Foods Transportaion, LLC",12969,001Ot000015wgewIAA,US,OH,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312615,N/A,,TK - NA,Customer,,,,,,12969,,One Invoice One Claim
D&V Trucks Inc - Fed Ex,12983,001Ot000015wgexIAA,US,OH,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,836820,N/A,,TK - NA,Customer,,,,,,12983,,One Invoice All Claims
Coffman Idealease,12985,001Ot000015wgeyIAA,US,AL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312482,N/A,,TK - NA,Customer,,,,,,12985,,One Invoice All Claims
Ryder Truck Rental Calgary 0095,12988,001Ot000015wgezIAA,CA,AB,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312832,N/A,,TK - NA,Customer,,,,,,12988,,One Invoice All Claims
"CoGo NW Distribution, Inc",13004,001Ot000015wgf0IAA,US,OR,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312417,N/A,,TK - NA,Customer,,,,,,13004,,One Invoice All Claims
Sysco North Dakota Inc,13013,001Ot000015wgf1IAA,US,ND,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,Active,|FARGO,NOTE PMBs are Every 1500 hrs. Fuel Filter covered at < half life if failure exists. Not proactive during PMA,312414,N/A,,TK - NA,Customer,,783635,,,,13013,,
Elian Express,13027,001Ot000015wgf2IAA,US,CA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312324,N/A,,TK - NA,Customer,,,,,,13027,,One Invoice All Claims
TK CORP CA (T9999998),T9999998,001Ot000015wgjZIAQ,CA,ON,Toronto,,,CAD,,,,0123i000000zaIgAAI,,,,,,,NA,,TK - NA,Dealer,,,,,,T9999998,,
"Blue Lightning Transportation Solutions, Inc.",13700,001Ot000015wgmmIAA,US,CA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,CONTRACT IS CANCELLED DUE TO NON PAYMENT,682618,N/A,,TK - NA,Customer,,,,,,13700,,One Invoice One Claim
Shunn Logistics - Fed Ex,13706,001Ot000015wgmnIAA,US,AR,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,687459,N/A,,TK - NA,Customer,,,,,,13706,,One Invoice All Claims
KL Harring Transportation LLC,13710,001Ot000015wgmoIAA,US,PA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,313003,N/A,,TK - NA,Customer,,,,,,13710,,One Invoice One Claim
M&S Ventures LLC,13713,001Ot000015wgmpIAA,US,IN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,3636154,N/A,,TK - NA,Customer,,,,,,13713,,One Invoice All Claims
Conveyance Lease Inc (Versatile Transport),13716,001Ot000015wgmqIAA,US,MN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,699926,N/A,,TK - NA,Customer,,,,,,13716,,One Invoice One Claim
Pat Hopkins - Fed Ex,13207,001Ot000015wguuIAA,US,OH,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC13207,N/A,,TK - NA,Customer,,,,,,13207,,One Invoice All Claims
"KA Steel Chemicals, Inc.",13222,001Ot000015wguvIAA,US,IL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312740,N/A,,TK - NA,Customer,,,,,,13222,,One Invoice All Claims
"Darwin L Martin Trucking, LLC.",13225,001Ot000015wguwIAA,US,PA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312301,N/A,,TK - NA,Customer,,,,,,13225,,One Invoice All Claims
"Delta Star Corporation (Phoenix, Collins)",13226,001Ot000015wguxIAA,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312655,N/A,,TK - NA,Customer,,,,,,13226,,One Invoice All Claims
"Horses & Mules Transport, Inc.",13235,001Ot000015wguyIAA,CA,MB,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312288,N/A,,TK - NA,Customer,,,,,,13235,,One Invoice All Claims
Ken Buck - Fed Ex DO NOT USE,13239,001Ot000015wguzIAA,US,TN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,322911,N/A,,TK - NA,Customer,,,,,,13239,,One Invoice All Claims
"CO Lines, Inc.",13243,001Ot000015wgv0IAA,US,IL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,322913,N/A,,TK - NA,Customer,,,,,,13243,,One Invoice All Claims
Artur Express Inc DBA Tornado Trans Services,13244,001Ot000015wgv1IAA,US,MO,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312722,N/A,,TK - NA,Customer,,,,,,13244,,One Invoice All Claims
Florida East Coast Railway LLC,13249,001Ot000015wgv2IAA,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,116450,N/A,,TK - NA,Customer,,,,,,13249,,One Invoice One Claim
"Performance Transportation, LLC (L)",10020,001Ot000015wgv3IAA,US,CO,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1088488,NA,,TK - NA,Customer,,,,,,10020,,One Invoice One Claim
COLDLINER EXPRESS,10023,001Ot000015wgv4IAA,US,OH,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1101690,N/A,,TK - NA,Customer,,,,,,10023,,One Invoice One Claim
Mid Atlantic Transportation,10025,001Ot000015wgv5IAA,US,NJ,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1109366,N/A,,TK - NA,Customer,,,,,,10025,,One Invoice One Claim
Ozark Logistics LLC,10026,001Ot000015wgv6IAA,US,TX,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1115146,N/A,,TK - NA,Customer,,,,,,10026,,One Invoice One Claim
Ryder Truck Rental Inc,10027,001Ot000015wgv7IAA,US,FL,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,395709,NA,,TK - NA,Customer,,,,,,10027,,One Invoice One Claim
Robinson Pipe Cleaning Co,9941,001Ot000015wgzcIAA,US,KY,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,825251,NA,,TK - NA,Customer,,,,,,9941,,One Invoice One Claim
National Water Main Kearny,9942,001Ot000015wgzdIAA,US,NJ,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,825261,NA,,TK - NA,Customer,,,,,,9942,,One Invoice One Claim
Badger State Western,9943,001Ot000015wgzeIAA,US,WI,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,824518,NA,,TK - NA,Customer,,,,,,9943,,One Invoice All Claims
GTS Transportation (Illinois),9944,001Ot000015wgzfIAA,US,IL,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,634333,NA,,TK - NA,Customer,,,,,,9944,,One Invoice One Claim
Dschaak Trucking,9945,001Ot000015wgzgIAA,CA,MB,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,839300,NA,,TK - NA,Customer,,,,,,9945,,One Invoice One Claim
Bulkley Trucking,9946,001Ot000015wgzhIAA,US,TX,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,844800,NA,,TK - NA,Customer,,,,,,9946,,One Invoice One Claim
Contreras Express LLC,9948,001Ot000015wgziIAA,US,VA,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,850681,NA,,TK - NA,Customer,,,,,,9948,,One Invoice One Claim
"TK Christensen - North Platte, NE",T1065002,001Ot000015whHUIAY,US,NE,NORTH PLATTE,69101,2120 RODEO ROAD,USD,"TK Christensen has a new location in North Platte, NE as a Service only location.",,308-258-2039,0123i000000zaIgAAI,,4541186,,THERMO KING CHRISTENSEN,,312509,,,TK - NA,Dealer,US-NE-GDISL-01,,1000082803,,T1065,T1065002,,
"Jon Ahlrichs Trucking, LLC",12899,001Ot000015whPWIAY,US,IA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312778,N/A,,TK - NA,Customer,,,,,,12899,,One Invoice All Claims
Czech Zoom Express,12906,001Ot000015whPXIAY,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312654,N/A,,TK - NA,Customer,,,,,,12906,,One Invoice All Claims
Dan Jordan - Fed Ex,12907,001Ot000015whPYIAY,US,MI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC12907,N/A,,TK - NA,Customer,,,,,,12907,,One Invoice All Claims
Randy - Garrett -R&L Trucking Inc - Fed Ex,12910,001Ot000015whPZIAY,US,TX,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312607,N/A,,TK - NA,Customer,,,,,,12910,,One Invoice All Claims
Panhandle Transportation Group LLC,12921,001Ot000015whPaIAI,US,TX,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312661,N/A,,TK - NA,Customer,,,,,,12921,,One Invoice One Claim
CRST Lincoln,12923,001Ot000015whPbIAI,US,IA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312721,N/A,,TK - NA,Customer,,,,,,12923,,One Invoice All Claims
"KA FleetOne, Inc. (Non Target)",12951,001Ot000015whPcIAI,US,CA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312602,N/A,,TK - NA,Customer,,,,,,12951,,One Invoice One Claim
TK Lubbock TX,A1691,001Ot000015whahIAA,US,TX,Lubbock,79404-6909,2420 E Slaton Hwy,USD,,,806-763-6311,0123i000000zaIgAAI,,,,THERMO KING OF LUBBOCK,,,,,TK - NA,Dealer,US-TX-AMARI-01,,1000082141,,,A1691,,
Sysco Orlando FL,13120,001Ot000015whcQIAQ,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312360,N/A,,TK - NA,Customer,,,,,,13120,,One Invoice All Claims
B&B Expediting - Bill Edwards - Fed Ex,13122,001Ot000015whcRIAQ,US,MI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312354,N/A,,TK - NA,Customer,,,,,,13122,,One Invoice All Claims
Flat Creek Transportation,13123,001Ot000015whcSIAQ,US,AL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312734,N/A,,TK - NA,Customer,,,,,,13123,,One Invoice One Claim
Mello Carriers Inc - Fed Ex,13135,001Ot000015whcTIAQ,US,IN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC13135,N/A,,TK - NA,Customer,,,,,,13135,,One Invoice All Claims
Micah Turner - Fed Ex,13140,001Ot000015whcUIAQ,US,KY,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC13140,N/A,,TK - NA,Customer,,,,,,13140,,One Invoice All Claims
"Mastar Supply Chain & Logistics, Inc.",13144,001Ot000015whcVIAQ,US,MI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312658,N/A,,TK - NA,Customer,,,,,,13144,,One Invoice One Claim
Riverside Transport (Transco Lines Inc),13145,001Ot000015whcWIAQ,US,AR,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,313016,N/A,,TK - NA,Customer,,,,,,13145,,One Invoice One Claim
Howard Kempffer,12723,001Ot000015whfdIAA,US,MN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312953,N/A,,TK - NA,Customer,,,,,,12723,,One Invoice All Claims
"MSA, Inc.",12728,001Ot000015whfeIAA,US,MI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312175,N/A,,TK - NA,Customer,,,,,,12728,,One Invoice One Claim
Idealease of Baltimore,12738,001Ot000015whffIAA,US,MD,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312489,N/A,,TK - NA,Customer,,,,,,12738,,One Invoice All Claims
Prime Logistics Corp (Palatine IL),12769,001Ot000015whfgIAA,US,IL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312774,N/A,,TK - NA,Customer,,,,,,12769,,One Invoice All Claims
NFI Industries,12822,001Ot000015whioIAA,US,TX,IRVING,75062-3911,511 E JOHN CARPENTER FWY,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,783313,,,"No Battery, No Engine and No TracKing Hardware coverage. Dealer must bill direct.  PMA's allowed at 90-120 days.",312994,N/A,,TK - NA,Customer,,12258836,,,,12822,,One Invoice All Claims
"RTI Transport - Grand Rapids, MI",12827,001Ot000015whipIAA,US,MI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312894,N/A,,TK - NA,Customer,,,,,,12827,,One Invoice One Claim
Certified Freight Logistics,12866,001Ot000015whiqIAA,US,CA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312772,N/A,,TK - NA,Customer,,,,,,12866,,One Invoice One Claim
Joseph Sanchez - Fed Ex,13527,001Ot000015wi72IAA,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,508073,N/A,,TK - NA,Customer,,,,,,13527,,One Invoice All Claims
Clockwork Leasing Inc,13529,001Ot000015wi73IAA,US,AZ,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,527753,N/A,,TK - NA,Customer,,,,,,13529,,One Invoice One Claim
Knight Transportation (dba) - Quad K Leasing LLC,13531,001Ot000015wi74IAA,US,AZ,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,501773,N/A,,TK - NA,Customer,,,,,,13531,,One Invoice One Claim
MBBJ Management corp (FedEx),13540,001Ot000015wi75IAA,US,IN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,SVCSVC13540,N/A,,TK - NA,Customer,,,,,,13540,,One Invoice All Claims
"Diel-Jerue Logistics, Inc.",13543,001Ot000015wi76IAA,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,532013,N/A,,TK - NA,Customer,,,,,,13543,,One Invoice One Claim
"Greenwood Ice Cream, Inc.",13545,001Ot000015wi77IAA,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,532973,N/A,,TK - NA,Customer,,,,,,13545,,One Invoice All Claims
JR Simplot,13118,001Ot000015wi78IAA,US,ID,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,236831,N/A,,TK - NA,Customer,,,,,,13118,,One Invoice All Claims
Cowan Systems LLC,13125,001Ot000015wi79IAA,US,MD,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312134,N/A,,TK - NA,Customer,,,,,,13125,,One Invoice One Claim
All Seasons Express LLC,13148,001Ot000015wi7AIAQ,US,MI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,313015,N/A,,TK - NA,Customer,,,,,,13148,,One Invoice All Claims
Total Logistics Trucking Canada Inc,12304,001Ot000015wiBrIAI,CA,QC,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312232,N/A,,TK - NA,Customer,,,,,,12304,,One Invoice One Claim
"February 14, Inc",12318,001Ot000015wiBsIAI,US,MI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,67878,N/A,,TK - NA,Customer,,,,,,12318,,One Invoice All Claims
American Infrastructure Technologies Corp (AITC),12320,001Ot000015wiBtIAI,US,AL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312392,N/A,,TK - NA,Customer,,,,,,12320,,One Invoice All Claims
Pine Hills Trucking Inc,12347,001Ot000015wiBuIAI,US,WI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,720060,N/A,,TK - NA,Customer,,,,,,12347,,One Invoice One Claim
Paragon Leasing Stevens Parts,12354,001Ot000015wiBvIAI,US,TX,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,819354,N/A,,TK - NA,Customer,,,,,,12354,,One Invoice All Claims
"R&L Carriers, Inc.",12384,001Ot000015wiBwIAI,US,OH,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,313012,N/A,,TK - NA,Customer,,,,,,12384,,One Invoice One Claim
Leonard's Express,10049,001Ot000015wiF1IAI,US,NY,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1141397,N/A,,TK - NA,Customer,,,,,,10049,,One Invoice One Claim
"Gur-Fateh Transport, LTD",13561,001Ot000015wiGfIAI,CA,AB,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,567434,N/A,,TK - NA,Customer,,,,,,13561,,One Invoice All Claims
Oakes Farms Inc,13569,001Ot000015wiGgIAI,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,575493,N/A,,TK - NA,Customer,,,,,,13569,,One Invoice One Claim
Ranger Transportation LLC,13576,001Ot000015wiGhIAI,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,580333,N/A,,TK - NA,Customer,,,,,,13576,,One Invoice All Claims
Pro Food Systems Inc,13578,001Ot000015wiGiIAI,US,MO,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC13578,N/A,,TK - NA,Customer,,,,,,13578,,One Invoice One Claim
ASGARD CARRIER INC,9973,001Ot000015wiGjIAI,US,IL,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,930340,NA,,TK - NA,Customer,,,,,,9973,,One Invoice All Claims
"Hub Group, Inc. - Container Reefer",9974,001Ot000015wiGkIAI,US,IL,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,"Diesel Hours, Repair comments & Service location REQUIRED",964760,NA,,TK - NA,Customer,,,,,,9974,,One Invoice One Claim
Pro-Formance Intermodal Inc,9976,001Ot000015wiGlIAI,CA,AB,,,,CAD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,964806,NA,,TK - NA,Customer,,,,,,9976,,One Invoice One Claim
MC Carriers LLC,9977,001Ot000015wiGmIAI,US,NV,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,972000,NA,,TK - NA,Customer,,,,,,9977,,One Invoice All Claims
"Ward Idealease, LLC",9979,001Ot000015wiGnIAI,US,AL,MOBILE,36615-1103,2200 MICHIGAN AVE,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,782705,,,,312662,NA,,TK - NA,Customer,,12258228,,,,9979,,One Invoice One Claim
Dean Dairy Holdings LLC (OLD),5781,001Ot000015wiJtIAI,US,TX,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,812179,N/A,,TK - NA,Customer,,,,,,5781,,PO Prefix
"Sunco Trucking, LLC (Watkins Refrigerated)",583,001Ot000015wiJuIAI,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312678,N/A,,TK - NA,Customer,,,,,,583,,One Invoice All Claims
"Service Trans-West, Inc.",5900,001Ot000015wiJvIAI,CA,QC,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,313025,N/A,,TK - NA,Customer,,,,,,5900,,One Invoice One Claim
"Super T / Miller Brothers Express, LLC",5945,001Ot000015wiJwIAI,US,UT,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,833400,N/A,,TK - NA,Customer,,,,,,5945,,One Invoice One Claim
Pacific Rental & Leasing,9933,001Ot000015wiN8IAI,US,WA,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,821898,NA,,TK - NA,Customer,,,,,,9933,,One Invoice One Claim
Jasveer Trucking - SAB Transport,9934,001Ot000015wiN9IAI,US,TX,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,822246,NA,,TK - NA,Customer,,,,,,9934,,One Invoice One Claim
Utt Transportation - Fed Ex,9935,001Ot000015wiNAIAY,US,NC,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,823398,NA,,TK - NA,Customer,,,,,,9935,,One Invoice All Claims
Keolis Transit America (L),9936,001Ot000015wiNBIAY,US,MA,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,825961,NA,,TK - NA,Customer,,,,,,9936,,One Invoice All Claims
Penske - Harahan LA - Imperial Trading,9919,001Ot000015wKuVIAU,US,LA,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,GMP Review,312691,NA,,TK - NA,Customer,,,,,,9919,,One Invoice All Claims
Oakley Transport Inc,9920,001Ot000015wKuWIAU,US,FL,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,804458,NA,,TK - NA,Customer,,,,,,9920,,One Invoice One Claim
"The Chapman Line, LLC",13450,001Ot000015wL2PIAU,US,VA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,431840,N/A,,TK - NA,Customer,,,,,,13450,,One Invoice All Claims
"Avon Truck Lines, Inc.",13452,001Ot000015wL2QIAU,CA,ON,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,721958,N/A,,TK - NA,Customer,,,,,,13452,,One Invoice All Claims
"Ruppert Transport, Inc.",13456,001Ot000015wL2RIAU,CA,MB,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,438392,N/A,,TK - NA,Customer,,,,,,13456,,One Invoice All Claims
"Lavro Transport, Inc.",13457,001Ot000015wL2SIAU,CA,ON,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,387829,N/A,,TK - NA,Customer,,,,,,13457,,One Invoice All Claims
PM Enterprises LLC - Joseph Everts - Fed Ex,13479,001Ot000015wL2TIAU,US,WI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC13479,N/A,,TK - NA,Customer,,,,,,13479,,One Invoice All Claims
M&J Expeditors,13486,001Ot000015wL2UIAU,US,OH,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,476933,N/A,,TK - NA,Customer,,,,,,13486,,One Invoice All Claims
Parker Transport Co.,13487,001Ot000015wL2VIAU,US,TX,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,478753,N/A,,TK - NA,Customer,,,,,,13487,,One Invoice One Claim
Pero Transport,13368,001Ot000015wLKBIA2,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,344908,N/A,,TK - NA,Customer,,,,,,13368,,One Invoice One Claim
Palmetto State Transportation Co,13369,001Ot000015wLKCIA2,US,SC,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312777,N/A,,TK - NA,Customer,,,,,,13369,,One Invoice All Claims
"Navajo Express, Inc.",13370,001Ot000015wLKDIA2,US,CO,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,351410,N/A,,TK - NA,Customer,,,,,,13370,,One Invoice One Claim
